2026-01-01 09:55:20.439 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-01-01 09:55:20.479 [main] INFO  a.intelligent.resume.IntelligentResumeApplication - Starting IntelligentResumeApplication using Java 21.0.9 with PID 10224 (E:\AI_Project\IntelligentResume\IntelligentResume_back\target\classes started by Lenovo in E:\AI_Project\IntelligentResume\IntelligentResume_back)
2026-01-01 09:55:20.480 [main] INFO  a.intelligent.resume.IntelligentResumeApplication - The following 1 profile is active: "dev"
2026-01-01 09:55:21.786 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-01 09:55:21.790 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-01-01 09:55:21.842 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 36 ms. Found 0 Redis repository interfaces.
2026-01-01 09:55:22.841 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-01-01 09:55:22.849 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-01-01 09:55:22.851 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-01-01 09:55:22.851 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
2026-01-01 09:55:22.929 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-01-01 09:55:22.929 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2404 ms
2026-01-01 09:55:23.917 [main] INFO  a.i.r.service.impl.MinioFileStorageServiceImpl - 存储桶 avatar 已存在
2026-01-01 09:55:23.921 [main] INFO  a.i.r.service.impl.MinioFileStorageServiceImpl - 存储桶 resume 已存在
2026-01-01 09:55:24.459 [main] INFO  org.redisson.Version - Redisson 3.25.0
2026-01-01 09:55:24.787 [redisson-netty-2-5] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2026-01-01 09:55:24.798 [redisson-netty-2-14] INFO  org.redisson.connection.pool.MasterConnectionPool - 5 connections initialized for localhost/127.0.0.1:6379
2026-01-01 09:55:25.550 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2026-01-01 09:55:25.595 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6a16ee0d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1444e35f, org.springframework.security.web.context.SecurityContextHolderFilter@54632794, org.springframework.security.web.header.HeaderWriterFilter@57e83608, org.springframework.security.web.authentication.logout.LogoutFilter@6f78c132, app.intelligent.resume.security.JwtAuthenticationFilter@3beaa16d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@303a484e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@760f4310, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3f563397, org.springframework.security.web.session.SessionManagementFilter@526a1b51, org.springframework.security.web.access.ExceptionTranslationFilter@6bf27411, org.springframework.security.web.access.intercept.AuthorizationFilter@3049dcac]
